k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,lastNum,num
22.4,0.866666666666667,0,39.2,22,6.36363636363636,35.7142857142857,6.73684210526316,28,4.66666666666667,0,86.1666666666667,1704,2531
20.4,1.03333333333333,0,25.6,7.33333333333333,3.09090909090909,14.2857142857143,6.84210526315789,16,2.66666666666667,0,53.1666666666667,1735,2675
22,1.16666666666667,0,26.4,24.6666666666667,12.1818181818182,13.5714285714286,6.52631578947368,52,4,0,51.3333333333333,1439,2062
21.6,1.9,0,41.6,25.3333333333333,3.09090909090909,27.1428571428571,5.78947368421053,28,6,0,64.1666666666667,950,1436
18.8,1.4,20.625,39.2,22,3.09090909090909,32.1428571428571,7.15789473684211,8,4.66666666666667,0,80.6666666666667,1700,2033
17.6,1.2,0,41.6,10.6666666666667,3.09090909090909,71.4285714285714,7.68421052631579,44,4.66666666666667,0,78.8333333333333,2194,2432
17.2,1.2,0,31.2,36,3.09090909090909,36.4285714285714,6.63157894736842,72,4,0,95.3333333333333,2385,2517
16.8,0.533333333333333,20.625,53.6,7.33333333333333,0,41.4285714285714,6,8,10,0,69.6666666666667,2421,2452
14.8,0.533333333333333,20.625,33.6,22,9.27272727272727,30,6.31578947368421,36,7,0,58.6666666666667,2592,2508
20.8,1.36666666666667,20.625,35.2,25.3333333333333,9.27272727272727,22.1428571428571,6.21052631578947,20,6.33333333333333,0,51.3333333333333,2159,2038
18.8,2.93333333333333,0,53.6,28.6666666666667,3.09090909090909,30.7142857142857,5.57894736842105,28,7.33333333333333,0,64.1666666666667,1518,1531
18.4,0.166666666666667,0,52,22,3.09090909090909,33.5714285714286,6,72,8.33333333333333,0,89.8333333333333,1229,2176
15.2,1.86666666666667,20,56,32,9.09090909090909,42.1428571428571,6.42105263157895,52,6.66666666666667,0,110,1942,2810
24.4,1.36666666666667,20.625,76.8,28.6666666666667,6.18181818181818,30.7142857142857,6.52631578947368,44,6.33333333333333,0,88,2500,2969
18.4,0.366666666666667,62.5,56.8,22,6.36363636363636,37.1428571428571,5.78947368421053,20,6.66666666666667,0,100.833333333333,2531,2795
20.8,1.73333333333333,20.625,42.4,10.6666666666667,9.27272727272727,26.4285714285714,6.10526315789474,72,4,0,53.1666666666667,2675,3037
23.2,1.2,0,44.8,24.6666666666667,0,25.7142857142857,6.10526315789474,44,4.33333333333333,0,51.3333333333333,2062,2383
20.8,2,0,59.2,35.3333333333333,8.90909090909091,24.2857142857143,6.63157894736842,60,7.33333333333333,0,139.333333333333,1436,1681
18.8,1.03333333333333,0,53.6,32.6666666666667,3.09090909090909,40,6.94736842105263,72,6.66666666666667,0,69.6666666666667,2033,2426
15.2,1.93333333333333,0,57.6,11.3333333333333,0,25.7142857142857,7.26315789473684,56,6,0,66,2432,2996
21.2,1.73333333333333,0,65.6,10.6666666666667,15.6363636363636,35,7.15789473684211,92,6.66666666666667,4,53.1666666666667,2517,3209
